profile,attachment_label,repeat,turn_index,session_id,transport,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_pass,cost_pass,memory_recall_passes,memory_recall_total,marker_in_summary
growing,100KB,0,5,cf78cf1e-1574-437b-b9b4-4fe663f1b524,in_process,60144,60000,10,0,0,29442,480,0.0,18797,none,,0,1,0,0,0
growing,100KB,0,6,cf78cf1e-1574-437b-b9b4-4fe663f1b524,in_process,60133,60000,12,0,0,29625,574,0.0,16116,none,,0,1,9,9,0
growing,100KB,1,1,24a69d47-6ec2-418a-a73d-bfde575147ad,in_process,60235,60000,2,0,0,29209,350,0.0,5081,none,,1,1,0,0,0
growing,100KB,1,2,24a69d47-6ec2-418a-a73d-bfde575147ad,in_process,60176,60000,4,0,0,29271,332,0.0,5939,none,,1,1,0,0,0
growing,100KB,1,3,24a69d47-6ec2-418a-a73d-bfde575147ad,in_process,60159,60000,6,0,0,29383,399,0.0,18059,none,,0,1,0,0,0
growing,100KB,1,4,24a69d47-6ec2-418a-a73d-bfde575147ad,in_process,60151,60000,8,0,0,29381,447,0.0,14718,none,,0,1,0,0,0
growing,100KB,1,5,24a69d47-6ec2-418a-a73d-bfde575147ad,in_process,60144,60000,10,0,0,29403,430,0.0,10674,none,,0,1,0,0,0
growing,100KB,1,6,24a69d47-6ec2-418a-a73d-bfde575147ad,in_process,60133,60000,12,0,0,29525,525,0.0,7448,none,,1,1,9,9,0
growing,100KB,2,1,0defa420-5d7f-4b91-9b18-12837ecbf83e,in_process,60235,60000,2,0,0,29208,350,0.0,5649,none,,1,1,0,0,0
growing,100KB,2,2,0defa420-5d7f-4b91-9b18-12837ecbf83e,in_process,60176,60000,4,0,0,29280,335,0.0,15425,none,,0,1,0,0,0
growing,100KB,2,3,0defa420-5d7f-4b91-9b18-12837ecbf83e,in_process,60159,60000,6,0,0,29338,368,0.0,22062,none,,0,1,0,0,0
growing,100KB,2,4,0defa420-5d7f-4b91-9b18-12837ecbf83e,in_process,60151,60000,8,0,0,29338,388,0.0,21342,none,,0,1,0,0,0
growing,100KB,2,5,0defa420-5d7f-4b91-9b18-12837ecbf83e,in_process,60144,60000,10,0,0,29366,398,0.0,24289,none,,0,1,0,0,0
growing,100KB,2,6,0defa420-5d7f-4b91-9b18-12837ecbf83e,in_process,60133,60000,12,0,0,29497,494,0.0,14580,none,,0,1,9,9,0
pivot,0KB,0,1,0864ecb4-90fa-421f-b517-9ae301b305c7,in_process,131,0,2,0,0,2455,334,0.0,6334,none,,1,1,0,0,0
pivot,0KB,0,2,0864ecb4-90fa-421f-b517-9ae301b305c7,in_process,122,0,4,0,0,2526,346,0.0,5885,none,,1,1,0,0,0
pivot,0KB,0,3,0864ecb4-90fa-421f-b517-9ae301b305c7,in_process,69,0,6,0,0,2516,347,0.0,6736,none,,1,1,0,0,0
pivot,0KB,0,4,0864ecb4-90fa-421f-b517-9ae301b305c7,in_process,119,0,8,0,0,2594,437,0.0,6291,none,,1,1,0,0,0
pivot,0KB,0,5,0864ecb4-90fa-421f-b517-9ae301b305c7,in_process,184,0,10,0,0,2772,419,0.0,6791,none,,1,1,0,0,0
pivot,0KB,0,6,0864ecb4-90fa-421f-b517-9ae301b305c7,in_process,62,0,12,0,0,2677,465,0.0,7424,none,,1,1,7,9,0
pivot,0KB,1,1,2e7a9736-1764-4b64-86df-e49b7e939037,in_process,131,0,2,0,0,2446,334,0.0,9723,none,,0,1,0,0,0
pivot,0KB,1,2,2e7a9736-1764-4b64-86df-e49b7e939037,in_process,122,0,4,0,0,2537,368,0.0,6084,none,,1,1,0,0,0
pivot,0KB,1,3,2e7a9736-1764-4b64-86df-e49b7e939037,in_process,69,0,6,0,0,2596,417,0.0,7577,none,,1,1,0,0,0
pivot,0KB,1,4,2e7a9736-1764-4b64-86df-e49b7e939037,in_process,119,0,8,0,0,2692,448,0.0,6288,none,,1,1,0,0,0
pivot,0KB,1,5,2e7a9736-1764-4b64-86df-e49b7e939037,in_process,184,0,10,0,0,2766,404,0.0,5990,none,,1,1,0,0,0
pivot,0KB,1,6,2e7a9736-1764-4b64-86df-e49b7e939037,in_process,62,0,12,0,0,2656,442,0.0,6318,none,,1,1,7,9,0
pivot,0KB,2,1,839d7373-359e-4f0a-b0a2-4aa35a227df5,in_process,131,0,2,0,0,2450,326,0.0,5180,none,,1,1,0,0,0
pivot,0KB,2,2,839d7373-359e-4f0a-b0a2-4aa35a227df5,in_process,122,0,4,0,0,2530,360,0.0,7228,none,,1,1,0,0,0
pivot,0KB,2,3,839d7373-359e-4f0a-b0a2-4aa35a227df5,in_process,69,0,6,0,0,2538,369,0.0,6026,none,,1,1,0,0,0
pivot,0KB,2,4,839d7373-359e-4f0a-b0a2-4aa35a227df5,in_process,119,0,8,0,0,2623,402,0.0,6214,none,,1,1,0,0,0
pivot,0KB,2,5,839d7373-359e-4f0a-b0a2-4aa35a227df5,in_process,184,0,10,0,0,2655,363,0.0,5857,none,,1,1,0,0,0
pivot,0KB,2,6,839d7373-359e-4f0a-b0a2-4aa35a227df5,in_process,62,0,12,0,0,2608,423,0.0,6451,none,,1,1,7,9,0
pivot,5KB,0,1,e10b5913-064d-4e5e-9d5b-c1e5b63b906c,in_process,2671,2495,2,0,0,3665,392,0.0,9354,none,,0,1,0,0,0
pivot,5KB,0,2,e10b5913-064d-4e5e-9d5b-c1e5b63b906c,in_process,2662,2495,4,0,0,3856,441,0.0,11920,none,,0,1,0,0,0
pivot,5KB,0,3,e10b5913-064d-4e5e-9d5b-c1e5b63b906c,in_process,2609,2495,6,0,0,3782,391,0.0,5560,none,,1,1,0,0,0
pivot,5KB,0,4,e10b5913-064d-4e5e-9d5b-c1e5b63b906c,in_process,2659,2495,8,0,0,3839,370,0.0,8019,none,,0,1,0,0,0
pivot,5KB,0,5,e10b5913-064d-4e5e-9d5b-c1e5b63b906c,in_process,2724,2495,10,0,0,3853,375,0.0,5692,none,,1,1,0,0,0
pivot,5KB,0,6,e10b5913-064d-4e5e-9d5b-c1e5b63b906c,in_process,2602,2495,12,0,0,3740,342,0.0,5547,none,,1,1,7,9,0
pivot,5KB,1,1,73ef43c9-3189-4f44-9e11-d9ed0761bb41,in_process,2671,2495,2,0,0,3654,369,0.0,7268,none,,1,1,0,0,0
pivot,5KB,1,2,73ef43c9-3189-4f44-9e11-d9ed0761bb41,in_process,2662,2495,4,0,0,3754,364,0.0,6426,none,,1,1,0,0,0
pivot,5KB,1,3,73ef43c9-3189-4f44-9e11-d9ed0761bb41,in_process,2609,2495,6,0,0,3741,371,0.0,5744,none,,1,1,0,0,0
pivot,5KB,1,4,73ef43c9-3189-4f44-9e11-d9ed0761bb41,in_process,2659,2495,8,0,0,3810,352,0.0,6013,none,,1,1,0,0,0
pivot,5KB,1,5,73ef43c9-3189-4f44-9e11-d9ed0761bb41,in_process,2724,2495,10,0,0,3815,369,0.0,5804,none,,1,1,0,0,0
pivot,5KB,1,6,73ef43c9-3189-4f44-9e11-d9ed0761bb41,in_process,2602,2495,12,0,0,3735,365,0.0,7381,none,,1,1,7,9,0
pivot,5KB,2,1,b4b257c4-6123-4f1c-afb0-fe1b81b1d0dc,in_process,2671,2495,2,0,0,3628,350,0.0,5882,none,,1,1,0,0,0
pivot,5KB,2,2,b4b257c4-6123-4f1c-afb0-fe1b81b1d0dc,in_process,2662,2495,4,0,0,3764,351,0.0,6955,none,,1,1,0,0,0
pivot,5KB,2,3,b4b257c4-6123-4f1c-afb0-fe1b81b1d0dc,in_process,2609,2495,6,0,0,3766,382,0.0,5688,none,,1,1,0,0,0
pivot,5KB,2,4,b4b257c4-6123-4f1c-afb0-fe1b81b1d0dc,in_process,2659,2495,8,0,0,3821,422,0.0,6864,none,,1,1,0,0,0
pivot,5KB,2,5,b4b257c4-6123-4f1c-afb0-fe1b81b1d0dc,in_process,2724,2495,10,0,0,3951,383,0.0,7105,none,,1,1,0,0,0
pivot,5KB,2,6,b4b257c4-6123-4f1c-afb0-fe1b81b1d0dc,in_process,2602,2495,12,0,0,3722,350,0.0,5532,none,,1,1,6,9,0
pivot,20KB,0,1,8134ea73-2ebe-4b5e-9cb2-09047674bda3,in_process,10161,9984,2,0,0,6971,362,0.0,5661,none,,1,1,0,0,0
pivot,20KB,0,2,8134ea73-2ebe-4b5e-9cb2-09047674bda3,in_process,10152,9984,4,0,0,7127,366,0.0,6763,none,,1,1,0,0,0
pivot,20KB,0,3,8134ea73-2ebe-4b5e-9cb2-09047674bda3,in_process,10099,9984,6,0,0,7065,357,0.0,10659,none,,0,1,0,0,0
pivot,20KB,0,4,8134ea73-2ebe-4b5e-9cb2-09047674bda3,in_process,10149,9984,8,0,0,7165,401,0.0,6006,none,,1,1,0,0,0
pivot,20KB,0,5,8134ea73-2ebe-4b5e-9cb2-09047674bda3,in_process,10214,9984,10,0,0,7257,422,0.0,7344,none,,1,1,0,0,0
pivot,20KB,0,6,8134ea73-2ebe-4b5e-9cb2-09047674bda3,in_process,10092,9984,12,0,0,7192,443,0.0,7659,none,,1,1,7,9,0
pivot,20KB,1,1,b8703c3a-74b1-4e9a-b525-64990b333999,in_process,10161,9984,2,0,0,6981,356,0.0,6366,none,,1,1,0,0,0
pivot,20KB,1,2,b8703c3a-74b1-4e9a-b525-64990b333999,in_process,10152,9984,4,0,0,7089,371,0.0,6275,none,,1,1,0,0,0
pivot,20KB,1,3,b8703c3a-74b1-4e9a-b525-64990b333999,in_process,10099,9984,6,0,0,7134,409,0.0,6948,none,,1,1,0,0,0
pivot,20KB,1,4,b8703c3a-74b1-4e9a-b525-64990b333999,in_process,10149,9984,8,0,0,7167,421,0.0,7280,none,,1,1,0,0,0
pivot,20KB,1,5,b8703c3a-74b1-4e9a-b525-64990b333999,in_process,10214,9984,10,0,0,7291,387,0.0,10964,none,,0,1,0,0,0
pivot,20KB,1,6,b8703c3a-74b1-4e9a-b525-64990b333999,in_process,10092,9984,12,0,0,7119,394,0.0,6163,none,,1,1,7,9,0
pivot,20KB,2,1,5e1e4087-0524-41ed-84ac-35ed2574b975,in_process,10161,9984,2,0,0,6949,325,0.0,10962,none,,0,1,0,0,0
pivot,20KB,2,2,5e1e4087-0524-41ed-84ac-35ed2574b975,in_process,10152,9984,4,0,0,7121,394,0.0,7629,none,,1,1,0,0,0
pivot,20KB,2,3,5e1e4087-0524-41ed-84ac-35ed2574b975,in_process,10099,9984,6,0,0,7096,347,0.0,5639,none,,1,1,0,0,0
pivot,20KB,2,4,5e1e4087-0524-41ed-84ac-35ed2574b975,in_process,10149,9984,8,0,0,7095,381,0.0,5926,none,,1,1,0,0,0
pivot,20KB,2,5,5e1e4087-0524-41ed-84ac-35ed2574b975,in_process,10214,9984,10,0,0,7204,384,0.0,6071,none,,1,1,0,0,0
pivot,20KB,2,6,5e1e4087-0524-41ed-84ac-35ed2574b975,in_process,10092,9984,12,0,0,7154,424,0.0,6550,none,,1,1,7,9,0
pivot,50KB,0,1,f6f3cd86-e641-4132-9c5d-8a28b3a967c2,in_process,25140,24963,2,0,0,13680,392,0.0,11272,none,,0,1,0,0,0
pivot,50KB,0,2,f6f3cd86-e641-4132-9c5d-8a28b3a967c2,in_process,25131,24963,4,0,0,13750,349,0.0,13455,none,,0,1,0,0,0
pivot,50KB,0,3,f6f3cd86-e641-4132-9c5d-8a28b3a967c2,in_process,25078,24963,6,0,0,13774,389,0.0,14457,none,,0,1,0,0,0
pivot,50KB,0,4,f6f3cd86-e641-4132-9c5d-8a28b3a967c2,in_process,25128,24963,8,0,0,13860,437,0.0,7432,none,,1,1,0,0,0
pivot,50KB,0,5,f6f3cd86-e641-4132-9c5d-8a28b3a967c2,in_process,25193,24963,10,0,0,13877,345,0.0,8752,none,,0,1,0,0,0
pivot,50KB,0,6,f6f3cd86-e641-4132-9c5d-8a28b3a967c2,in_process,25071,24963,12,0,0,13807,432,0.0,7783,none,,1,1,6,9,0
pivot,50KB,1,1,53e4e0ed-f8d4-42d9-a6b5-0209b045c31d,in_process,25140,24963,2,0,0,13693,397,0.0,6003,none,,1,1,0,0,0
pivot,50KB,1,2,53e4e0ed-f8d4-42d9-a6b5-0209b045c31d,in_process,25131,24963,4,0,0,13766,369,0.0,16186,none,,0,1,0,0,0
pivot,50KB,1,3,53e4e0ed-f8d4-42d9-a6b5-0209b045c31d,in_process,25078,24963,6,0,0,13760,374,0.0,18359,none,,0,1,0,0,0
pivot,50KB,1,4,53e4e0ed-f8d4-42d9-a6b5-0209b045c31d,in_process,25128,24963,8,0,0,13874,452,0.0,12273,none,,0,1,0,0,0
pivot,50KB,1,5,53e4e0ed-f8d4-42d9-a6b5-0209b045c31d,in_process,25193,24963,10,0,0,13881,352,0.0,6553,none,,1,1,0,0,0
pivot,50KB,1,6,53e4e0ed-f8d4-42d9-a6b5-0209b045c31d,in_process,25071,24963,12,0,0,13785,379,0.0,7245,none,,1,1,7,9,0
pivot,50KB,2,1,a8c99545-e79f-4cf4-ace5-2206db697ac7,in_process,25140,24963,2,0,0,13653,378,0.0,5830,none,,1,1,0,0,0
pivot,50KB,2,2,a8c99545-e79f-4cf4-ace5-2206db697ac7,in_process,25131,24963,4,0,0,13834,437,0.0,6222,none,,1,1,0,0,0
pivot,50KB,2,3,a8c99545-e79f-4cf4-ace5-2206db697ac7,in_process,25078,24963,6,0,0,13830,398,0.0,6344,none,,1,1,0,0,0
pivot,50KB,2,4,a8c99545-e79f-4cf4-ace5-2206db697ac7,in_process,25128,24963,8,0,0,13838,418,0.0,7609,none,,1,1,0,0,0
pivot,50KB,2,5,a8c99545-e79f-4cf4-ace5-2206db697ac7,in_process,25193,24963,10,0,0,13923,374,0.0,10104,none,,0,1,0,0,0
pivot,50KB,2,6,a8c99545-e79f-4cf4-ace5-2206db697ac7,in_process,25071,24963,12,0,0,13845,462,0.0,15627,none,,0,1,6,9,0
pivot,100KB,0,1,7083ce85-ab5b-4d2b-80fe-b940be612ad5,in_process,60178,60000,2,0,0,29228,398,0.0,6593,none,,1,1,0,0,0
pivot,100KB,0,2,7083ce85-ab5b-4d2b-80fe-b940be612ad5,in_process,60169,60000,4,0,0,29318,380,0.0,9763,none,,0,1,0,0,0
pivot,100KB,0,3,7083ce85-ab5b-4d2b-80fe-b940be612ad5,in_process,60116,60000,6,0,0,29384,430,0.0,11329,none,,0,1,0,0,0
